CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC-CL A,279858,46869,100.01M,16.75M,+20.1%,3.6%
037833100,AAPL,APPLE INC,643815,55398,186.29M,16.03M,+9.4%,6.8%
482480100,KLAC,KLA CORP,57450,52112,17.33M,15.72M,+976.2%,0.63%
594918104,MSFT,MICROSOFT CORP,329012,27702,122.73M,10.33M,+9.2%,4.5%
023135106,AMZN,AMAZON.COM INC,460616,41142,109.78M,9.81M,+9.8%,4%
701094104,PH,PARKER HANNIFIN CORP,14905,9754,14.58M,9.54M,+189.4%,0.53%
11135F101,AVGO,BROADCOM INC,218104,20634,82.39M,7.79M,+10.4%,3%
67066G104,NVDA,NVIDIA CORP,1044526,33253,209M,6.65M,+3.3%,7.6%
09857L108,BKNG,BOOKING HOLDINGS INC,34557,33260,6.16M,5.93M,+2564.4%,0.22%
30303M102,META,META PLATFORMS INC-CLASS A,96304,9100,54.25M,5.13M,+10.4%,2%
595112103,MU,MICRON TECHNOLOGY INC,49455,4338,57.09M,5.01M,+9.6%,2.1%
75513E101,RTX,RTX CORP,106071,23528,20.12M,4.46M,+28.5%,0.73%
21873S108,CRWV,COREWEAVE INC-CL A,66403,44571,6.61M,4.44M,+204.2%,0.24%
88160R101,TSLA,TESLA INC,123417,10243,51.91M,4.31M,+9.1%,1.9%
291011104,EMR,EMERSON ELECTRIC CO,104835,29054,15.01M,4.16M,+38.3%,0.54%
532457108,LLY,ELI LILLY & CO,35218,3048,42.24M,3.66M,+9.5%,1.5%
007903107,AMD,ADVANCED MICRO DEVICES,71496,6042,41.53M,3.51M,+9.2%,1.5%
46625H100,JPM,JPMORGAN CHASE & CO,141369,9869,46.27M,3.23M,+7.5%,1.7%
438516205,HON,HONEYWELL INTERNATIONAL INC,14184,14184,3.18M,3.18M,NEW,0.12%
43849R105,HONA,HONEYWELL AEROSPACE INC,14184,14184,3.14M,3.14M,NEW,0.11%
04626A103,ALAB,ASTERA LABS INC,6237,6237,3.01M,3.01M,NEW,0.11%
478160104,JNJ,JOHNSON & JOHNSON,142361,11044,36.16M,2.8M,+8.4%,1.3%
02079K107,GOOG,ALPHABET INC-CL C,202703,7886,71.62M,2.79M,+4%,2.6%
872540109,TJX,TJX COMPANIES INC,100086,17027,15.16M,2.58M,+20.5%,0.55%
444859102,HUM,HUMANA INC,5878,5878,2.33M,2.33M,NEW,0.08%
146869102,CVNA,CARVANA CO,38828,32939,2.56M,2.17M,+559.3%,0.09%
92826C839,V,VISA INC-CLASS A SHARES,73816,6258,25.33M,2.15M,+9.3%,0.92%
038222105,AMAT,APPLIED MATERIALS INC,34826,2900,25.18M,2.1M,+9.1%,0.91%
931142103,WMT,WALMART INC,192750,17164,21.83M,1.94M,+9.8%,0.79%
651639106,NEM,NEWMONT CORP,115214,19803,10.76M,1.85M,+20.8%,0.39%
512807306,LRCX,LAM RESEARCH CORP,54795,4216,23.74M,1.83M,+8.3%,0.86%
17275R102,CSCO,CISCO SYSTEMS INC,173241,15046,20.35M,1.77M,+9.5%,0.74%
149123101,CAT,CATERPILLAR INC,20443,1659,21.77M,1.77M,+8.8%,0.79%
445658107,JBHT,HUNT (JB) TRANSPRT SVCS INC,5949,5949,1.72M,1.72M,NEW,0.06%
76155X100,RVMD,REVOLUTION MEDICINES INC,9101,9101,1.7M,1.7M,NEW,0.06%
00287Y109,ABBV,ABBVIE INC,77661,6686,19.54M,1.68M,+9.4%,0.71%
15135B101,CNC,CENTENE CORP,26096,26096,1.68M,1.68M,NEW,0.06%
576323109,MTZ,MASTEC INC,3941,3941,1.64M,1.64M,NEW,0.06%
983793100,XPO,XPO INC,7871,7871,1.62M,1.62M,NEW,0.06%
22160K105,COST,COSTCO WHOLESALE CORP,19523,1727,18.26M,1.62M,+9.7%,0.66%
452327109,ILMN,ILLUMINA INC,8351,8351,1.47M,1.47M,NEW,0.05%
64110D104,NTAP,NETAPP INC,9392,9392,1.45M,1.45M,NEW,0.05%
458140100,INTC,INTEL CORP,192749,10399,26.91M,1.45M,+5.7%,0.98%
